Re,Gr,Ha,Rm,Navg,avgA
1000,8000,1,10,9.28752396635008,-0.499780095549646
10,9000,1,10,1.01167675942146,-0.505311518207304
35,9000,1,10,1.12832402004187,-0.505885010111698
60,9000,1,10,1.31202442618083,-0.506732693822451
85,9000,1,10,1.51273360088696,-0.507456230014187
125,9000,1,10,1.87776449776022,-0.508274548165121
250,9000,1,10,3.51372583433018,-0.508184872782616
375,9000,1,10,4.88122678379633,-0.50603085077004
500,9000,1,10,5.95573807827645,-0.504189285336986
550,9000,1,10,6.34151004903265,-0.503568304109627
600,9000,1,10,6.70984787743597,-0.503003257364744
700,9000,1,10,7.40598618688374,-0.502012645906577
800,9000,1,10,8.06053273292131,-0.501168926944977
900,9000,1,10,8.68337210908854,-0.50043470524401
1000,9000,1,10,9.27877004802094,-0.499787302777204
10,10000,1,10,1.01094853678259,-0.50497307966347
35,10000,1,10,1.12090979601982,-0.505546446096697
60,10000,1,10,1.29578917690747,-0.506416694015689
85,10000,1,10,1.48696640630579,-0.507186437320305
125,10000,1,10,1.83009860453316,-0.508093500115061
250,10000,1,10,3.43739594795066,-0.508269483304637
375,10000,1,10,4.84386740030877,-0.50608874160005
500,10000,1,10,5.93351172771981,-0.504221108582156
550,10000,1,10,6.32256249094797,-0.503594007112681
600,10000,1,10,6.69335174970303,-0.503024366890371
700,10000,1,10,7.39282656330786,-0.502027575356948
800,10000,1,10,8.04943148035422,-0.501180181700047
900,10000,1,10,8.67362463675818,-0.500443610615479
1000,10000,1,10,9.2699782843386,-0.49979461143692
10,15000,1,10,1.00856633934088,-0.503512974009094
35,15000,1,10,1.09628237195839,-0.504066057574697
60,15000,1,10,1.24152285889322,-0.504977010018514
85,15000,1,10,1.40243783453845,-0.50587770458816
125,15000,1,10,1.67717292600019,-0.507067530418723
250,15000,1,10,3.04507608954047,-0.508635625259995
375,15000,1,10,4.6375703740685,-0.506415672600443
500,15000,1,10,5.81552932107921,-0.504394434138832
550,15000,1,10,6.22307316313477,-0.503732396843014
