Re,Gr,Ha,Rm,Navg,avgA
800,900,1,10,8.14795326905578,-0.501083781043588
900,900,1,10,8.76065448853567,-0.500366992451734
1000,900,1,10,9.34894714894513,-0.499731207502105
10,1500,1,10,1.03408835117618,-0.508556233263832
30,1500,1,10,1.25739280370756,-0.508810630693582
50,1500,1,10,1.55303010677025,-0.509017286330924
70,1500,1,10,1.84308858028901,-0.509094245358687
90,1500,1,10,2.12029118646427,-0.509097821954363
200,1500,1,10,3.47041227173013,-0.50835834009781
300,1500,1,10,4.46885265315664,-0.506829977301917
400,1500,1,10,5.33292279348368,-0.505300332342733
500,1500,1,10,6.10962289968362,-0.503977613829494
600,1500,1,10,6.82696108736345,-0.502859124316644
700,1500,1,10,7.5009482668428,-0.50190900484644
800,1500,1,10,8.14160377366316,-0.501089772215086
900,1500,1,10,8.75498101550693,-0.500371837551637
1000,1500,1,10,9.34379107080711,-0.499735206902325
10,2500,1,10,1.02587294084183,-0.508040388554758
30,2500,1,10,1.20288096443991,-0.508362435763383
50,2500,1,10,1.45569159044865,-0.508699447782612
70,2500,1,10,1.72097854521169,-0.508888567424345
90,2500,1,10,1.9894429433923,-0.508967382969088
200,2500,1,10,3.39763967460837,-0.508413617201059
300,2500,1,10,4.42773145321473,-0.506886131144308
400,2500,1,10,5.30609910208764,-0.505338683157385
500,2500,1,10,6.09032645972214,-0.504003230980184
600,2500,1,10,6.81196214618681,-0.502877017360034
700,2500,1,10,7.48864436841446,-0.501922013828275
800,2500,1,10,8.13102159264703,-0.50109976785583
900,2500,1,10,8.74558531488046,-0.50037981596901
1000,2500,1,10,9.33522317016113,-0.499741857176215
10,3500,1,10,1.02109522152257,-0.507550403919457
30,3500,1,10,1.16872519454263,-0.507914895776369
50,3500,1,10,1.38830050225066,-0.508352590743844
70,3500,1,10,1.62658420408585,-0.508651085538605
90,3500,1,10,1.8763321834815,-0.508813701224272
200,3500,1,10,3.3200957917104,-0.508471572379207
300,3500,1,10,4.38486863064542,-0.506945235276224
400,3500,1,10,5.27858254707145,-0.505378399706209
500,3500,1,10,6.0706801813113,-0.504029592709415
600,3500,1,10,6.796790901584,-0.502895278275468
700,3500,1,10,7.47621517631153,-0.501935317893626
800,3500,1,10,8.1203603543192,-0.501109959198434
900,3500,1,10,8.73608623631223,-0.500388037568702
1000,3500,1,10,9.3265639827952,-0.499748707880086
10,4500,1,10,1.01801268916726,-0.507088276997154
30,4500,1,10,1.14585099637366,-0.507478570931655
50,4500,1,10,1.34074306140448,-0.507991243329584
70,4500,1,10,1.55566501021823,-0.508385913322227
90,4500,1,10,1.78418373774111,-0.508632965278213
200,4500,1,10,3.23783485760194,-0.508531334395891
300,4500,1,10,4.34011453269305,-0.507007574739446
400,4500,1,10,5.25028303969376,-0.505419738247774
500,4500,1,10,6.05063856103558,-0.504056832272223
600,4500,1,10,6.78144324277106,-0.502913912233686
700,4500,1,10,7.46370205215697,-0.501948804040316
800,4500,1,10,8.10961911928176,-0.501120348130405
900,4500,1,10,8.72658536222264,-0.500396291750192
1000,4500,1,10,9.31797767513885,-0.499755461390031
10,5500,1,10,1.01586683947681,-0.506652838288293
30,5500,1,10,1.1295898219178,-0.507058632827603
50,5500,1,10,1.3059890331198,-0.507625860500006
70,5500,1,10,1.50216139125032,-0.508100962355471
90,5500,1,10,1.71115765950802,-0.508426756270328
200,5500,1,10,3.15130850525024,-0.508591333565939
300,5500,1,10,4.29338836786525,-0.507073207392519
400,5500,1,10,5.22119495624261,-0.505462669513148
500,5500,1,10,6.03025873395227,-0.504084749349102
600,5500,1,10,6.76587591800559,-0.50293304286726
700,5500,1,10,7.45105992869381,-0.501962590316494
800,5500,1,10,8.09884467378232,-0.501130820757687
900,5500,1,10,8.71708250714491,-0.500404575087957
1000,5500,1,10,9.30929962267644,-0.499762416378317
10,6500,1,10,1.01428496485927,-0.506242199462531
30,6500,1,10,1.11744260718361,-0.506656964449044
50,6500,1,10,1.27963404154982,-0.507263206223402
70,6500,1,10,1.46101176991662,-0.507804098417769
90,6500,1,10,1.65352564037764,-0.508199854950628
200,6500,1,10,3.06132139138601,-0.5086494329994
300,6500,1,10,4.24459231691499,-0.507142236908522
400,6500,1,10,5.19128293343346,-0.505507262182314
500,6500,1,10,6.0094599266469,-0.504113592089112
600,6500,1,10,6.7501233645437,-0.502952560620043
700,6500,1,10,7.43833030542627,-0.501976560760944
800,6500,1,10,8.08798855724419,-0.501141491630081
900,6500,1,10,8.70747477712291,-0.500413105862859
1000,6500,1,10,9.30058437834051,-0.499769473991567
10,7500,1,10,1.01306615284617,-0.505854398713791
30,7500,1,10,1.10799582596424,-0.506273719609337
50,7500,1,10,1.25895944828994,-0.506907809481335
70,7500,1,10,1.42857794819214,-0.50750152757174
90,7500,1,10,1.60761401093037,-0.507957821565931
200,7500,1,10,2.96927537559531,-0.508702652197349
300,7500,1,10,4.19366095734311,-0.507214663554977
400,7500,1,10,5.16048180678443,-0.505553685375319
500,7500,1,10,5.98829895974247,-0.504143156749972
600,7500,1,10,6.73414185793312,-0.502972592543528
700,7500,1,10,7.4254678487748,-0.501990836502562
800,7500,1,10,8.07704980273301,-0.501152362578698
900,7500,1,10,8.69786430798439,-0.500421664682002
1000,7500,1,10,9.29188680490174,-0.499776529844387
10,8500,1,10,1.01209392532814,-0.505487586874841
30,8500,1,10,1.10040691630487,-0.50590860467635
50,8500,1,10,1.24225397274937,-0.506562026795192
70,8500,1,10,1.40237503846168,-0.50719792019406
90,8500,1,10,1.57046447096163,-0.507705800124662
200,8500,1,10,2.87699864859687,-0.508747549989829
300,8500,1,10,4.14047939684785,-0.50729063755827
400,8500,1,10,5.12878299675455,-0.505601913012557
500,8500,1,10,5.96669388004025,-0.504173698082695
600,8500,1,10,6.71800526696491,-0.502992903826207
700,8500,1,10,7.41251418255615,-0.502005298645312
800,8500,1,10,8.06602741601814,-0.501163435467976
900,8500,1,10,8.68819936875,-0.500430361809572
1000,8500,1,10,9.28315172318148,-0.499783686508153
10,9500,1,10,1.01129666820074,-0.505140077476921
30,9500,1,10,1.09414734456979,-0.505560725344321
50,9500,1,10,1.22841413177186,-0.506227287824284
70,9500,1,10,1.38071612915527,-0.506896618258369
90,9500,1,10,1.53985957318891,-0.507447939352721
200,9500,1,10,2.7865325838319,-0.508780633654923
300,9500,1,10,4.08500253796636,-0.507370100548912
400,9500,1,10,5.09614857402681,-0.505652017530971
500,9500,1,10,5.94470119415733,-0.504205009171388
600,9500,1,10,6.70163025289531,-0.503013744601904
700,9500,1,10,7.39942373670778,-0.502020071305053
800,9500,1,10,8.05496865963489,-0.501174590037917
900,9500,1,10,8.67847948772478,-0.500439198068164
1000,9500,1,10,9.2743789112848,-0.499790944401583
10,12500,1,10,1.00956258020166,-0.504198901126662
30,12500,1,10,1.08040929042522,-0.504611481658342
50,12500,1,10,1.19781994373778,-0.505294030784347
70,12500,1,10,1.33308222561132,-0.506026253264842
90,12500,1,10,1.4733700035898,-0.50666908830874
200,12500,1,10,2.5433322342799,-0.508783356712694
300,12500,1,10,3.90472130012764,-0.507627947881305
400,12500,1,10,4.99219107650168,-0.505814512079767
500,12500,1,10,5.87601865031856,-0.504304643323071
600,12500,1,10,6.65114254890387,-0.503079167573374
700,12500,1,10,7.35939858861788,-0.502066035522225
800,12500,1,10,8.02147046905611,-0.501208768279449
900,12500,1,10,8.64914121942617,-0.50046619022048
1000,12500,1,10,9.24788725546321,-0.499813217521792
